episode,step,avg_reward,avg_loss,min_reward,max_reward
0,0,1445.7255000855168,0,1000.543850395519,1905.6557403947334
0,1,1447.6055233661657,0,987.7079805769818,1924.2295523850194
0,2,1440.6622226891757,2343973.1145833335,949.0536312182281,1935.4142367110885
0,3,1443.350769650837,2152128.3333333335,981.3866805957871,1911.9456023844182
0,4,1449.2497437953234,1734756.3489583333,944.2026769397645,1924.4942765060832
0,5,1442.2742025254192,2004707.5,896.852127625085,1962.566871154533
0,6,1438.8899737297213,2246888.6770833335,918.2831653967914,1915.8871943042868
0,7,1439.1940268376081,1558060.640625,951.308784519197,1880.5943889273437
0,8,1427.5478816268876,1842144.9791666667,973.0633067048025,1887.952352370048
0,9,1417.102030054345,1663950.8541666667,959.1410145251085,1887.259131800442
0,10,1422.3895584968816,1545636.6041666667,960.3794613323474,1874.0493859020207
0,11,1430.4001651683311,1593373.5729166667,1000.2854423682988,1906.7060303826204
0,12,1423.2497212125834,1162842.5135472615,1000.9140308739725,1888.7761070548609
0,13,1428.5017123246043,1267417.9934895833,973.6769206268198,1927.065671358645
0,14,1431.1346151539772,1018339.7233072916,948.8939286568543,1915.0195438596684
0,15,1430.077273258227,854457.184000651,927.5229256444748,1945.1173035212817
0,16,1432.24261771889,429717.7007446289,930.2300090921021,1917.4894020377048
0,17,1426.0613918079423,425088.8343098958,890.9606825237356,1882.7611624175954
0,18,1418.25323154293,1077699.5416666667,856.8623762756117,1911.349248900937
0,19,1415.8916012083564,802969.3664550781,825.0025708590667,1886.4860158008257
0,20,1419.995511334859,1000948.3955078125,810.0853172385723,1921.8224852199912
0,21,1417.2106096764082,583601.644358317,852.2749366636893,1944.2853854652253
0,22,1397.781724004077,802928.6427408854,807.4123736591349,1945.632732562053
0,23,1415.7566203554622,324806.08121744794,798.8048739144058,1992.503316254531
0,24,1400.663600306604,652182.2769470215,770.9541687241771,1943.842618465528
0,25,1389.440089675333,685985.2728068033,725.1796508724664,1910.884879251606
0,26,1394.6716102582475,398166.56896972656,714.1399412726433,1934.1811933136248
0,27,1403.093214459155,398402.9805285136,670.7875139781568,1973.4278208295323
0,28,1402.5578252172452,435058.9236081441,637.5277870953591,1954.7251277264024
0,29,1403.3659029703233,706707.1850674947,641.1809675308883,1982.915954069902
0,30,1386.3648674576607,594747.5102539062,633.1998319488235,1933.2290949271512
0,31,1390.3042192113746,462546.88852183026,623.4779505759985,1913.973836247558
0,32,1387.235419221615,534437.3634154001,577.2665207419307,1914.473991537435
0,33,1390.6955195683097,522202.9685058594,588.1860660282642,1962.8467137017387
0,34,1385.4376935379667,169591.26654815674,567.4100081957602,1958.238224840157
0,35,1381.850025065303,284599.86767578125,530.5656739177056,1961.7993307243653
0,36,1381.8590200620895,157466.89334106445,522.408259290743,1913.5336646952
0,37,1397.450219189891,550396.7096761068,540.83682508894,1942.543194259337
0,38,1401.6339230558585,404357.30805460614,519.958957344611,1960.9926296710876
0,39,1394.0521644298267,300004.6127522786,491.1788586404464,1947.1812149845362
0,40,1402.0262519642074,123526.94554138184,534.7166997007579,1973.1001184129302
0,41,1415.0458955706133,350861.625,578.3155635094786,1994.0953659731333
0,42,1421.5634654232517,206198.49755859375,609.7985601662726,1987.9801732711742
0,43,1417.0001372135018,253498.09017626444,618.1498642987764,1975.9318908940488
0,44,1428.366432587711,215534.03968811035,628.6838231397999,1984.4980201836897
0,45,1427.676808801877,1033517.1974283854,648.4480530824328,1993.3618691532752
0,46,1433.4840480214918,552651.4808349609,660.5067780266767,1978.0373385082291
0,47,1444.9217242930101,665680.4128011068,672.4352521931993,2021.144146612524
0,48,1446.61911618925,313135.52185058594,672.3873132784579,2057.1162505329285
0,49,1452.1539644888037,260127.24169921875,713.3476780166499,2026.2348874189624
0,50,1445.6821851803886,230469.97748819986,750.6356970271706,2053.923049628258
0,51,1438.5752792703572,250309.35896809897,724.1082842377541,2095.4074956184436
0,52,1442.2791581293293,372514.6598307292,710.7740547491952,2140.4564769509116
0,53,1427.329482061209,320360.2180689573,683.3245903187325,2127.2895517423085
0,54,1418.1477842301074,348359.4945678711,643.3399750321274,2084.563973322574
0,55,1420.3390743536863,263013.23842875165,616.7522379728497,2107.7478473230058
0,56,1428.4820711218472,275659.78187179565,659.6493469807249,2115.2919554299415
0,57,1413.4146340767857,745989.4720052084,651.7012952600693,2081.5993041073407
0,58,1422.001287715315,182564.4815572103,686.7889215993042,2102.4402042146435
0,59,1421.6334362344517,146864.57076009116,726.8623347965374,2112.906624996231
0,60,1422.3272375678682,191520.1581624349,776.7255871070248,2136.343049010627
0,61,1408.2870712167216,405337.2033284505,749.3629220400741,2126.226650405874
0,62,1411.641130561394,372612.28474934894,753.1728685006766,2090.0866631831764
0,63,1411.8892162198283,244366.58187357584,776.3128975575717,2135.04872306935
0,64,1410.8582612946686,260539.8494873047,793.6103255245121,2136.2926046998787
0,65,1406.7442558645641,217643.55557250977,761.7773023188813,2109.662828770461
0,66,1401.8351288264446,52433.195542653404,732.1646952136858,2084.6712615563547
0,67,1395.9070953409553,240917.2283859253,715.0573030209208,2053.27797249841
0,68,1386.9085052614048,103512.66239420573,722.9635930967515,2091.6356932792287
0,69,1388.0671093451522,408733.58678181964,675.8572640563789,2119.3917001985947
0,70,1404.8635089956142,279526.6516113281,670.5943207453277,2138.3047809686414
0,71,1392.3683903771318,356689.812731425,628.4538346590982,2109.583875985433
0,72,1394.0587079742345,466932.591796875,645.6393765616425,2104.319685537689
0,73,1399.2122253538062,173449.3077799479,630.6793808205881,2136.207929941101
0,74,1398.4065277836496,159846.6795247396,593.2834825608362,2123.941473539083
0,75,1409.5238686579132,140391.62996164957,615.6934303716705,2166.2155608604853
0,76,1400.7058751882703,209679.4725519816,636.2243407283585,2115.9337214858215
0,77,1414.236215901058,254027.0888264974,628.7018402881994,2158.1347266135426
0,78,1403.1145809497928,368634.32267252606,578.931607111695,2168.3538710337325
0,79,1388.2923871189134,254172.65002441406,593.8933951180779,2183.344152077951
0,80,1394.985783383074,166125.3976236979,591.2371729288735,2227.552520920988
0,81,1382.7983062542023,139691.0821940104,633.5620290408167,2198.1791340932855
0,82,1395.1347004506172,206160.6544189453,672.5423701777405,2188.0750686684146
0,83,1405.2914696721712,255737.06361897787,716.1938089051007,2165.26070545642
0,84,1416.7678867764173,278255.3829650879,709.9955590351875,2118.179856191307
0,85,1408.8403816392245,127889.45589192708,735.5370623558478,2131.043423189985
0,86,1401.8643622850489,250987.0972070694,782.1823702133948,2086.035859308844
0,87,1393.8926537362115,217888.84928385416,767.8211894797208,2070.708061052859
0,88,1401.7919155949976,384861.9889017741,793.6046692162836,2052.1695462163793
0,89,1399.3967167111289,230605.36936219534,837.5241173887873,2097.7854408688627
0,90,1420.9719436395187,228842.55528259277,819.3498319864659,2145.668435032894
0,91,1426.7628809101523,405572.2268066406,820.8680831400127,2105.6199444731974
