timestamp,dpid,port,tx_bytes,rx_bytes
1743239506.7910807,3,4,6240411,1888
1743239506.7910888,3,1,3884068,3863575
1743239506.791096,3,2,4289031,3151831
1743239506.7911022,3,3,4315427,3128381
1743239508.6965373,1,4294967294,0,0
1743239508.6965868,1,1,4303996,3155909
1743239508.6965954,1,2,3862719,3884068
1743239508.6965992,1,3,4322263,3131033
1743239511.9621089,2,4294967294,0,0
1743239511.9621332,2,1,3155909,4304950
1743239511.9621391,2,4,6252654,8416
1743239511.962143,2,2,3151831,4290321
1743239511.9621465,2,3,6218432,56446
1743239512.264644,4,4294967294,0,0
1743239512.2646718,4,1,3131119,4323025
1743239512.264681,4,4,6234070,8416
1743239512.2646856,4,2,3128381,4315943
1743239512.2646894,4,5,6234842,6408
1743239512.264693,4,3,6234238,8458
1743239517.098734,3,4294967294,0,0
1743239517.0987554,3,4,7071035,2518
1743239517.0987613,3,1,4401499,4379576
1743239517.0987651,3,2,4857237,3573507
1743239517.0987685,3,3,4891262,3548340
1743239519.0183346,1,4294967294,0,0
1743239519.0183644,1,1,4877565,3577276
1743239519.0183735,1,2,4379576,4401671
1743239519.0183794,1,3,4903891,3547663
1743239524.1806848,4,4294967294,0,0
1743239524.1807113,4,1,3546885,4903891
1743239524.1807172,4,4,7067513,8500
1743239524.1807208,4,2,3547922,4891262
1743239524.1807244,4,5,7067597,8640
1743239524.1807275,4,3,7067611,8458
1743239526.1946962,2,4294967294,0,0
1743239526.1947265,2,1,3576294,4877565
1743239526.1947358,2,4,7085640,9948
1743239526.1947405,2,2,3572844,4857147
1743239526.194744,2,3,7049660,61778
1743239526.9583476,3,4294967294,0,0
1743239526.9583738,3,4,7859055,3428
1743239526.9583821,3,1,4893210,4863517
1743239526.9583879,3,2,5396836,3971501
1743239526.9583936,3,3,5436244,3943386
1743239528.7883153,1,4294967294,0,0
1743239528.7883399,1,1,5424274,3971133
1743239528.7883484,1,2,4862657,4893210
1743239528.7883523,1,3,5453651,3942736
1743239534.1260607,4,4294967294,0,0
1743239534.1260862,4,1,3942822,5454859
1743239534.126092,4,4,7854098,8926
1743239534.1260958,4,2,3942398,5436244
1743239534.126099,4,5,7854252,8724
1743239534.1261024,4,3,7852202,9692
1743239536.6784217,2,4294967294,0,0
1743239536.678448,2,1,3971133,5424622
1743239536.6784532,2,4,7872320,12306
1743239536.6784573,2,2,3971501,5397748
1743239536.6784608,2,3,7830000,67534
1743239537.3516521,3,4294967294,0,0
1743239537.3516965,3,4,8689590,3722
1743239537.3517022,3,1,5408870,5374803
1743239537.3517063,3,2,5965304,4399549
1743239537.3517103,3,3,6014572,4367063
1743239538.9700425,1,4294967294,0,0
1743239538.9700637,1,1,6001603,4384161
1743239538.9700687,1,2,5373955,5408870
1743239538.9700725,1,3,6024632,4356747
1743239544.2529745,4,4294967294,0,0
1743239544.2530003,4,1,4356747,6025824
1743239544.253006,4,4,8686420,9816
1743239544.2530096,4,2,4367149,6015604
1743239544.253013,4,5,8688568,9408
1743239544.2530224,4,3,8686588,12156
1743239546.6147895,2,4294967294,0,0
1743239546.6148188,2,1,4384161,6002119
1743239546.6148248,2,4,8706290,12558
1743239546.614828,2,2,4399549,5966594
1743239546.6148307,2,3,8657676,76386
1743239546.9752426,3,4294967294,0,0
1743239546.9752648,3,4,9490725,3848
1743239546.9752696,3,1,5902424,5866570
1743239546.975273,3,2,6519034,4805109
1743239546.9752758,3,3,6571406,4776094
1743239548.890188,1,4294967294,0,0
1743239548.8902102,1,1,6553344,4787204
1743239548.890215,1,2,5866570,5903112
1743239548.8902183,1,3,6579822,4757835
1743239554.2651322,4,4294967294,0,0
1743239554.2651591,4,1,4757013,6579822
1743239554.2651668,4,4,9492029,12578
1743239554.265172,4,2,4776094,6572610
1743239554.2651765,4,5,9492199,11114
1743239554.2651815,4,3,9492421,12552
1743239556.8714306,2,4294967294,0,0
1743239556.8714597,2,1,4786774,6553344
1743239556.871469,2,4,9508891,14488
1743239556.8714757,2,2,4805195,6519550
1743239556.8714824,2,3,9458249,83778
1743239557.0974407,3,4294967294,0,0
1743239557.0974646,3,4,10308084,4086
1743239557.0974705,3,1,6417591,6361279
1743239557.0974743,3,2,7074624,5223448
1743239557.0974782,3,3,7136375,5186658
1743239559.411404,1,4294967294,0,0
1743239559.411433,1,1,7117396,5199366
1743239559.4114413,1,2,6361279,6417419
1743239559.4114456,1,3,7146289,5175993
1743239564.974712,4,4294967294,0,0
1743239564.9747448,4,1,5176079,7146289
